month,surface_air mean_temp,mean_sunshine_hrs,mean_realtive humidity,total_rainfall,no_of_rainy_days,max_temperature,temp_category
Feb-91,27.1,7,81.6,45.5,7,33.5,1
Mar-91,27.8,7.1,79.9,92.4,10,34,1
Apr-91,27.7,5.8,84.3,134.2,13,34.1,1
May-91,27.7,5.1,86.6,256.4,23,33.2,1
Jun-91,28.6,7.1,81,88.7,9,33.6,1
Jul-91,28.5,6.7,78.7,37.3,8,34,1
Aug-91,28.2,5.3,79.8,226.2,8,33.6,1
Sep-91,27.5,4.1,83,123.1,12,32.5,1
Oct-91,27.5,4.2,81.4,52,5,33.4,1
Nov-91,26.3,3.5,86.5,205,19,32.6,0
Dec-91,25.6,3,90.7,492.3,19,31.5,0
Jan-92,26.6,6.6,82.4,83.9,9,31.8,0
Feb-92,27.5,7.7,80.5,62.4,4,33.1,1
Mar-92,28.2,7.4,80.6,67.6,6,34.7,1
Apr-92,28.4,6.4,82.4,160.3,13,34.6,1
May-92,28.1,5.7,83.3,63.1,13,34.1,1
Jun-92,28,5.5,82.7,162.8,14,33.6,1
Jul-92,27.3,4.7,83.8,290.8,19,33.5,1
Aug-92,27.8,5.7,81.1,76.1,11,33.6,1
Sep-92,27.3,5,82.9,83.6,13,34,1
Oct-92,27.4,4.5,82,233.2,20,32.9,1
Nov-92,26.1,3.7,87.7,474.3,18,32,0
Dec-92,25.5,3.4,90.3,502.7,23,31.4,0
Jan-93,26.2,5.5,85.7,176.4,11,31.6,0
Feb-93,26.7,8.5,80.5,69.2,8,32.7,0
Mar-93,26.7,5.4,86.3,250.5,14,32.2,0
Apr-93,27.6,6.4,84.5,283.9,20,33.5,1
May-93,28.2,6,82.9,129.9,10,34.2,1
Jun-93,28.5,6.2,80.9,115.5,17,33.3,1
Jul-93,27.9,5.2,83.2,240,15,32.8,1
Aug-93,28.6,7.4,79.4,106.8,11,33.9,1
Sep-93,27.9,5.9,81.4,61.7,7,33.2,1
Oct-93,27.5,5.2,84.3,175.5,13,33.2,1
Nov-93,26.9,4.7,87.4,250.8,18,32.5,0
Dec-93,26.5,4.2,87.4,308.5,19,32.9,0
Jan-94,26.9,6.1,82.1,56.9,7,32.4,0
Feb-94,27,6.4,84.5,133.5,15,32.5,0
Mar-94,26.8,3.5,87.1,288.2,19,32.2,0
Apr-94,27.9,5.8,84.8,154,15,33.6,1
May-94,28.1,5,84.8,169.6,16,32.6,1
Jun-94,28.1,6,83.5,184.7,14,33.1,1
Jul-94,28.4,7.6,78.9,53.8,6,32.7,1
Aug-94,28.1,6.5,80,45.1,12,32.9,1
Sep-94,28.3,3.8,78.7,23.7,6,34.1,1
Oct-94,27.9,4.5,81.5,84.7,11,34.2,1
Nov-94,26.7,4.5,88.4,322.2,21,32.5,0
Dec-94,26.9,5.3,85.5,425.4,18,32.6,0
Jan-95,26.8,5,86.2,349.4,21,32.8,0
Feb-95,26.5,4.9,87.5,334,16,32.4,0
Mar-95,27.6,5.9,83.9,67.7,10,33.2,1
Apr-95,27.9,5.6,85.3,242.3,16,33.5,1
May-95,28.5,6,83.7,84.4,11,34,1
Jun-95,28.9,6.6,81.9,63.7,12,34,1
Jul-95,28,5.2,82.6,173.6,13,33,1
Aug-95,27.4,4.1,85.6,211.6,21,32.4,1
Sep-95,28.3,5.8,81.6,29.5,7,33,1
Oct-95,27.8,4.7,82.8,101.1,12,34.1,1
Nov-95,27,3.7,86.8,372.8,20,33.3,0
Dec-95,26.3,3.1,86.6,302.5,20,32.5,0
Jan-96,26.2,5.2,84.2,173.2,10,32.5,0
Feb-96,26.5,5.8,84.6,180.2,11,32,0
Mar-96,27.8,7.7,81,129.7,8,34.4,1
Apr-96,27.8,5.4,85.5,178.2,15,33.6,1
May-96,28.5,7,83.7,107.5,15,33.3,1
Jun-96,28.3,5.9,84.3,265.8,15,33.9,1
Jul-96,28.3,6.7,81.9,162.3,10,33.3,1
Aug-96,27.4,5,83.4,258.4,18,33.1,1
Sep-96,27.7,4.8,82.2,297,18,33.2,1
Oct-96,27.5,4.3,83,300,19,33.1,1
Nov-96,27.3,4.4,83.5,180.2,16,33.6,1
Dec-96,26.6,4.5,82.9,185.5,15,33,0
Jan-97,27.1,7.7,77.3,15.4,3,33.3,1
Feb-97,27.4,4.9,80.8,105.4,8,33.7,1
Mar-97,28.1,7,79.6,34.3,10,34.2,1
Apr-97,28.1,5.6,82.7,118.4,12,34.4,1
May-97,29.3,6.7,77.7,41.6,6,35.1,1
Jun-97,29.3,7.3,76.7,78.9,12,34.7,1
Jul-97,28.8,6.5,76.5,18.6,9,34,1
Aug-97,28.8,5.7,78.2,86.6,9,34,1
Sep-97,28.8,3.2,77,31.1,3,33.8,1
Oct-97,28.2,3.2,81,78.4,8,34.5,1
Nov-97,27.8,5.4,82.8,158.3,13,33.7,1
Dec-97,27.3,5.3,85.3,351.9,23,32.9,1
Jan-98,28,7.4,83.2,268.8,13,33.6,1
Feb-98,28.9,8.9,78.3,32.5,5,34.6,1
Mar-98,29.5,7.6,77.8,58.8,7,36,1
Apr-98,29.2,6.7,81.8,187.7,13,34.8,1
May-98,29.4,5.9,82.3,370.8,18,34.8,1
Jun-98,28.6,5.3,82.1,198.8,15,34.7,1
Jul-98,28.1,5.1,81.8,259.2,18,33.6,1
Aug-98,27.5,4.6,85.4,195,18,32.8,1
Sep-98,27.9,4.5,84.1,258.2,17,33.1,1
Oct-98,28,5,82.3,222.7,20,34.5,1
Nov-98,27.9,4.6,81.9,107.2,11,34.1,1
Dec-98,26.6,3.1,88.5,463.4,22,32.6,0
Jan-99,26.6,3.9,88.3,193.9,19,32.8,0
Feb-99,27.2,6.7,82.4,67.4,9,33,1
Mar-99,27.1,4.3,87.5,181.4,16,33,1
Apr-99,28.3,5.8,82.6,88.5,14,34.4,1
May-99,28,5.7,84.4,157.1,13,34.2,1
Jun-99,28.2,6,81.9,103.4,13,33.7,1
Jul-99,27.8,6.8,82.7,225.4,11,32.9,1
Aug-99,27.5,5.7,84.1,204,13,32.9,1
Sep-99,27.9,6.5,81.7,125.9,13,33.9,1
Oct-99,27.2,4.7,84.6,205,20,32.5,1
Nov-99,27.3,4.7,84.4,241.5,19,33.4,1
Dec-99,26.8,4.1,85.3,340.5,17,33,0
Jan-00,26.3,4,86.9,275.2,14,31.8,0
Feb-00,26.6,5.8,86.5,237.8,18,32.4,0
Mar-00,27.2,5.8,85.8,238.3,15,34,1
Apr-00,27.5,5.3,85.6,311.6,20,33.4,1
May-00,28.6,6.8,82.4,96.8,10,34.2,1
Jun-00,27.6,4.6,84.3,157.5,16,33.3,1
Jul-00,28.1,6.5,82.6,116.1,12,33.1,1
Aug-00,27.5,5.1,83.8,113.5,18,33.3,1
Sep-00,28,6.2,82.2,81.1,12,34.3,1
Oct-00,27.8,4,82.1,120.9,14,34.1,1
Nov-00,27.3,3.7,87.1,385.7,21,34.2,1
Dec-00,27,4.2,87.6,236,18,32.6,0
1-Jan,26.5,4.4,87.4,425.8,21,32.8,0
1-Feb,27,4.8,83.6,86.6,11,32.4,0
1-Mar,27.5,5.4,84.5,297.3,20,33.7,1
1-Apr,27.7,5.3,86,203.3,18,33.5,1
1-May,28.5,6,85,164.9,12,33.5,1
1-Jun,28.2,4.9,82.5,137.1,11,33.6,1
1-Jul,28.4,8.1,80.8,111.3,9,33.7,1
1-Aug,28,4.9,83.7,158.3,14,33.7,1
1-Sep,28,6.2,82.3,162,13,33.1,1
1-Oct,27.6,4.4,83.7,252.2,20,34,1
1-Nov,27.2,3.7,84.9,175.3,15,33.2,1
1-Dec,26.7,4.5,86.8,609,20,33.2,0
2-Jan,27,6.9,83.6,221.2,11,33.5,0
2-Feb,27.3,7.4,80.9,50.8,2,32.5,1
2-Mar,28.2,7.6,80.8,55.6,8,34.8,1
2-Apr,28.6,6.6,82.3,116.5,13,34.3,1
2-May,28.9,6.2,82.3,236.6,13,34.1,1
2-Jun,28.7,6.3,82.1,83.1,12,33.3,1
2-Jul,28.4,6.8,82.7,233.7,11,33,1
2-Aug,28.5,6.7,79.2,54.2,14,33.6,1
2-Sep,28.1,5.5,81.7,124.2,9,33.2,1
2-Oct,28.7,6.2,79.8,10.8,7,34.6,1
2-Nov,27.4,4.6,85.8,307.2,15,34,1
2-Dec,27.2,4.8,88.7,255,24,33,1
3-Jan,26.7,4.7,86.9,444.2,20,32.4,0
3-Feb,27.1,5.8,85,172.9,13,32.6,1
3-Mar,28.1,6.9,83.8,154.6,11,33.5,1
3-Apr,27.9,5.1,86.7,159.9,20,33.7,1
3-May,29.2,5.8,81.7,81.8,11,34.3,1
3-Jun,28.9,7,78.5,50.3,12,34.3,1
3-Jul,28.1,5.6,81.7,170.4,14,32.8,1
3-Aug,28.2,6.1,83.1,193.6,13,33.1,1
3-Sep,27.6,5,84.8,205.3,15,32.9,1
3-Oct,27.6,5.1,84.9,351.4,21,33,1
3-Nov,27.1,4.2,87.3,133.8,19,33,1
3-Dec,26.5,3.9,87.2,273,17,32.2,0
4-Jan,26.9,6.7,86.7,600.9,13,32,0
4-Feb,27.6,7.7,80.5,31.9,4,34,1
4-Mar,27.7,4.8,85.8,269.4,16,33.7,1
4-Apr,28.9,7,82.3,57.1,9,35.1,1
4-May,28.9,6,82.1,137.6,13,34.3,1
4-Jun,29,6.3,79.8,127.2,8,33.7,1
4-Jul,27.3,4.2,85.3,166.6,20,32.9,1
4-Aug,28.3,7.3,80.3,185.2,8,33.5,1
4-Sep,27.8,5.9,83.6,128.9,14,33.1,1
4-Oct,27.8,5,83.9,125.6,13,34.2,1
4-Nov,27.3,5.8,86.1,166.2,15,32.5,1
4-Dec,26.8,4.9,85.2,139.8,14,32.7,0
5-Jan,26.6,6.5,83.3,163.2,8,32.4,0
5-Feb,28.5,9.1,77.7,8.4,3,34.7,1
5-Mar,28.5,7.2,80.3,82.4,12,35,1
5-Apr,28.7,7,81,81.7,10,35.1,1
5-May,28.5,5.5,84.6,331.1,20,35.4,1
5-Jun,28.8,5.4,82.7,82.3,15,33.9,1
5-Jul,28,5.4,84,104,15,33.9,1
5-Aug,28.2,6.5,82.9,58.5,13,33.6,1
5-Sep,28.2,6.2,84.2,175.7,18,33.1,1
5-Oct,27.6,5.1,85.2,314.5,19,33,1
5-Nov,27.3,4.4,86.4,362.9,23,33.6,1
5-Dec,27.3,4.5,85.6,166,19,33.5,1
6-Jan,26.5,4.8,87.8,454.4,20,32,0
6-Feb,27.5,7.4,84,115.5,8,33.3,1
6-Mar,28.3,7.1,81.3,83.1,9,34.6,1
6-Apr,27.6,5.3,87,239.8,18,34.1,1
6-May,28.1,5,85.2,205.7,14,33.8,1
6-Jun,27.8,5.5,86.3,236.8,16,32.7,1
6-Jul,28.4,6.9,83.8,153.8,15,33.1,1
6-Aug,28.3,6.7,81.9,127.3,14,33.1,1
6-Sep,28,5.3,81,83.3,12,32.8,1
6-Oct,28.3,4.8,80.9,102,8,33.6,1
6-Nov,27.3,5.6,87.4,185.6,18,33.2,1
6-Dec,26.6,3.2,88.5,765.9,22,32.7,0
7-Jan,26.5,4.1,86.8,450.1,20,32.7,0
7-Feb,27.3,7.6,82.5,105.5,3,33.3,1
7-Mar,27.5,5.8,84.9,269.1,21,33.5,1
7-Apr,28.1,5.9,84.7,240.2,14,33.7,1
7-May,28.3,5.5,84.8,127.2,16,33.4,1
7-Jun,28.4,6,82.8,139,12,34,1
7-Jul,27.7,3.8,84.8,141.7,19,33,1
7-Aug,27.7,5.7,82.9,190.7,20,32.5,1
7-Sep,27.8,5.8,83.3,149,13,32.6,1
7-Oct,27.8,5.6,83.2,237.2,16,33.7,1
7-Nov,26.9,3.5,86.5,367.9,21,33.5,0
7-Dec,26.4,4.5,86.8,468.6,20,31.8,0
8-Jan,26.8,6.1,86,262.6,19,33.5,0
8-Feb,26.7,5.5,82.9,129.2,8,33.4,0
8-Mar,26.5,4.3,87.1,294.1,16,32.7,0
8-Apr,28.1,6,82,87.2,13,33.3,1
8-May,28.8,6.6,79.1,124.9,11,34.1,1
8-Jun,28.2,5.6,81.5,118.3,12,32.9,1
8-Jul,27.8,4.9,81.3,89.1,15,32.7,1
8-Aug,27.4,5.5,83.8,327.3,18,32.7,1
8-Sep,27.7,5.1,82.7,164.4,18,32.9,1
8-Oct,27.6,4.5,84.9,159.5,19,33.3,1
8-Nov,27.3,4,85.9,324.3,16,33,1
8-Dec,26.9,4.8,83.7,244.2,17,32.6,0
9-Jan,26.8,6.6,79.1,38.3,5,32.6,0
9-Feb,27.3,6.4,80.7,201.8,8,35,1
9-Mar,27.2,5.5,85.4,223.3,19,33.2,1
9-Apr,28.5,6.2,82.2,183.7,12,34.7,1
9-May,28.7,6.6,83,198.6,17,33.6,1
9-Jun,29.1,7,79.8,21.8,8,33.7,1
9-Jul,28.3,6.2,80.8,161,16,33.1,1
9-Aug,28.3,6.5,80.7,177.8,12,33.5,1
9-Sep,28.3,5.6,82,109.6,13,33,1
9-Oct,28.2,5.4,82.8,133.4,15,33.9,1
9-Nov,27.2,4.7,85.6,281.8,23,34.1,1
9-Dec,27.1,4.7,86.3,189.8,18,32.6,1
10-Jan,27.5,7.1,82.1,69.5,10,32.3,1
10-Feb,28.9,8.8,77.3,6.3,4,35.2,1
10-Mar,28.6,6.1,79.9,238,11,35.5,1
10-Apr,28.6,6.2,84.1,158.5,18,34.5,1
10-May,29.2,6.5,82.2,157.5,17,35.2,1
10-Jun,28.3,5.1,83.9,240.5,19,33.5,1
10-Jul,27.7,4.6,84.8,298.5,18,33.4,1
10-Aug,27.9,5.4,84.2,158.4,16,33.1,1
10-Sep,28,5.7,82.5,121.5,13,33.2,1
10-Oct,28.3,4.2,82.3,166.2,17,34.1,1
10-Nov,27.4,5,85.9,278.8,21,33.1,1
10-Dec,26.8,3.6,85.3,181.4,14,33.6,0
11-Jan,26.3,4.5,85.8,513.2,17,32.4,0
11-Feb,27.3,7.5,81.1,23,8,33.5,1
11-Mar,27.1,4.6,85.5,256.6,22,33.5,1
11-Apr,27.9,7.2,83.9,217.8,12,33.1,1
11-May,28.5,5.9,85.3,127,15,35.3,1
11-Jun,28.4,5,83.7,213,15,33.1,1
11-Jul,28.7,7.8,81.3,76.6,7,32.9,1
11-Aug,27.9,6.1,82.6,81.4,13,32.5,1
11-Sep,27.8,5.1,82.7,136.4,14,32.4,1
11-Oct,27.3,5.3,87.4,216.8,20,32.5,1
11-Nov,27.1,4.6,87.8,377.8,24,32.5,1
11-Dec,26.6,3.3,88.4,284.6,21,32.3,0
12-Jan,26.7,6,87.3,106.1,16,32.5,0
12-Feb,27.2,7,85.6,83.6,11,32.9,1
12-Mar,27,4.2,87.3,313.4,21,33.2,0
12-Apr,27.6,5.8,85.1,260.6,20,32.9,1
12-May,28.2,5.6,83.1,292,19,33.7,1
12-Jun,28.7,6,79,53,8,32.7,1
12-Jul,27.7,6.2,81.1,130.8,17,32.1,1
12-Aug,27.9,6.1,79.8,119,12,32.7,1
12-Sep,27.9,5.6,79.7,107.6,10,32.7,1
12-Oct,27.7,5.9,81.3,122.2,13,33.1,1
12-Nov,27.1,4.4,85.4,208.2,22,32.8,1
12-Dec,26.7,3.6,87,363.4,22,32.2,0
13-Jan,27.1,6,82.1,262,15,35.2,1
13-Feb,26.5,4,86.9,395.2,22,32.5,0
13-Mar,28.3,7.5,80.4,85.8,10,33.8,1
13-Apr,28.2,5.2,82.7,159.4,19,34.9,1
13-May,28.2,5.4,83.1,211.4,17,33.9,1
13-Jun,29,6.4,74.6,111.4,12,34.5,1
13-Jul,27.8,5.7,79.9,174.6,15,33.5,1
13-Aug,27.9,6.1,79,165.6,15,32.8,1
13-Sep,27.5,4.6,81.3,257,19,32.9,1
13-Oct,27.7,6.3,79.9,285.4,19,33.2,1
13-Nov,27.1,4.5,84.6,292.4,22,32.9,1
13-Dec,26.5,3.5,85.8,348.2,21,33.7,0
14-Jan,26.2,5.3,78.5,75.4,5,31.8,0
14-Feb,27.2,8.8,74.5,0.2,1,33.8,1
14-Mar,27.9,8,76,66,6,34.4,1
14-Apr,28.2,5.7,80,110,17,34.5,1
14-May,28.6,5.8,80.2,125.8,18,33.8,1
14-Jun,29,6,77.5,71.4,11,33.6,1
